,wallet
2023-11-04 00:45:20,100.0
2023-11-04 00:45:38,99.99870265782167
2023-11-04 00:46:12,99.99870265782167
2023-11-04 00:46:13,99.99867382573454
2023-11-04 00:46:14,99.99867382573454
2023-11-04 00:46:17,99.99864499365572
2023-11-04 00:46:18,99.99864499365572
2023-11-04 00:46:19,99.99861616158522
2023-11-04 00:46:26,99.99861616158522
2023-11-04 00:46:27,99.99858732952303
2023-11-04 00:46:31,99.99858732952303
2023-11-04 00:46:35,99.99855849746915
2023-11-04 00:46:39,99.99855849746915
2023-11-04 00:46:42,99.99852966542359
2023-11-04 00:46:43,99.99852966542359
2023-11-04 00:46:46,99.99850083338634
2023-11-04 00:46:51,99.99850083338634
2023-11-04 00:46:52,99.99847200135741
2023-11-04 00:47:57,99.99847200135741
2023-11-04 00:48:21,99.99844315431571
2023-11-04 00:48:24,99.9984431543157
2023-11-04 00:48:26,99.99841430728232
2023-11-04 00:48:27,99.99841430728232
2023-11-04 00:48:28,99.99838546025725
2023-11-04 00:48:35,99.99838546025725
2023-11-04 00:48:36,99.99835661324052
2023-11-04 00:48:38,99.99835661324052
2023-11-04 00:48:39,99.9983277662321
2023-11-04 00:48:41,99.99829891923198
2023-11-04 00:48:44,99.99829891923198
2023-11-04 00:48:45,99.9982700722402
2023-11-04 00:48:47,99.9982700722402
2023-11-04 00:48:48,99.99824122525673
2023-11-04 00:48:53,99.99824122525673
2023-11-04 00:48:56,99.99821237828161
2023-11-04 00:49:00,99.99821237828161
2023-11-04 00:49:01,99.9981835313148
2023-11-04 00:49:02,99.9981835313148
2023-11-04 00:49:03,99.9981546843563
2023-11-04 00:49:36,99.9981546843563
2023-11-04 00:50:31,100.0070415523362
2023-11-04 00:50:33,100.0070415523362
2023-11-04 00:51:05,100.00949409636333
2023-11-04 00:51:06,100.00949409636333
2023-11-04 00:51:22,100.00476231882007
2023-11-04 00:51:49,100.00476231882007
2023-11-04 00:51:50,100.00473346527762
2023-11-04 00:51:52,100.00473346527762
2023-11-04 00:51:53,100.00470461174349
2023-11-04 00:52:26,100.00470461174349
2023-11-04 00:52:27,100.00467575696058
2023-11-04 00:52:28,100.00467575696058
2023-11-04 00:54:20,100.07340783001084
2023-11-04 00:54:23,100.07340783001084
2023-11-04 00:54:25,100.07337897524458
2023-11-04 00:54:27,100.07337897524458
2023-11-04 00:54:58,100.08024623932768
2023-11-04 00:55:01,100.08024623932768
2023-11-04 00:55:02,100.08021738528522
2023-11-04 00:55:28,100.08021738528522
2023-11-04 00:55:33,100.08018852855552
2023-11-04 00:55:34,100.08018852855552
2023-11-04 00:55:37,100.08015967183414
2023-11-04 00:55:42,100.08015967183414
2023-11-04 00:55:46,100.08013081512108
2023-11-04 00:55:51,100.08013081512108
2023-11-04 00:55:53,100.08010195841634
2023-11-04 00:55:54,100.08010195841634
2023-11-04 00:55:57,100.0800731017199
2023-11-04 00:55:59,100.0800731017199
2023-11-04 00:56:49,100.10059020695773
2023-11-04 00:56:51,100.10059020695773
2023-11-04 00:56:55,100.10056135027797
2023-11-04 00:56:56,100.10056135027797
2023-11-04 00:56:57,100.10053249360652
2023-11-04 00:56:58,100.10053249360652
2023-11-04 00:56:59,100.1005036369434
2023-11-04 00:57:00,100.1005036369434
2023-11-04 00:57:01,100.1004747802886
2023-11-04 00:57:09,100.1004747802886
2023-11-04 00:57:11,100.1004459236421
2023-11-04 00:57:12,100.1004459236421
2023-11-04 00:57:13,100.10041706700393
2023-11-04 00:57:18,100.10041706700393
2023-11-04 00:57:22,100.10038821037408
2023-11-04 00:57:26,100.10038821037408
2023-11-04 00:57:28,100.10035935375254
2023-11-04 00:57:29,100.10035935375254
2023-11-04 00:57:30,100.10033049713932
2023-11-04 00:57:31,100.10033049713932
2023-11-04 00:57:33,100.10030164053444
2023-11-04 00:57:37,100.10030164053444
2023-11-04 00:57:41,100.10027278393787
2023-11-04 00:57:42,100.10027278393787
2023-11-04 00:57:43,100.10024392734961
