,price,MA_25,signal
2023-11-15 20:00:44,37512.01,,nan
2023-11-15 20:00:45,37512.01,,nan
2023-11-15 20:00:46,37508.0,,nan
2023-11-15 20:00:47,37512.0,,nan
2023-11-15 20:00:48,37512.0,,nan
2023-11-15 20:00:49,37521.99,,nan
2023-11-15 20:00:50,37518.0,,nan
2023-11-15 20:00:51,37516.41,,nan
2023-11-15 20:00:52,37520.65,,nan
2023-11-15 20:00:53,37520.65,,nan
2023-11-15 20:00:54,37520.66,,nan
2023-11-15 20:00:55,37516.4,,nan
2023-11-15 20:00:56,37511.1,,nan
2023-11-15 20:00:57,37510.0,,nan
2023-11-15 20:00:58,37504.14,,nan
2023-11-15 20:00:59,37504.14,,nan
2023-11-15 20:01:00,37501.11,,nan
2023-11-15 20:01:01,37496.53,,nan
2023-11-15 20:01:02,37496.53,,nan
2023-11-15 20:01:03,37496.52,,nan
2023-11-15 20:01:04,37482.01,,nan
2023-11-15 20:01:05,37481.11,,nan
2023-11-15 20:01:06,37474.89,,nan
2023-11-15 20:01:07,37471.1,,nan
2023-11-15 20:01:08,37470.01,37503.5988,sell
2023-11-15 20:01:09,37466.34,37501.772000000004,sell
2023-11-15 20:01:10,37466.0,37499.9316,sell
2023-11-15 20:01:11,37476.0,37498.651600000005,sell
2023-11-15 20:01:12,37475.33,37497.1848,sell
2023-11-15 20:01:13,37473.99,37495.6644,sell
2023-11-15 20:01:14,37473.57,37493.7276,sell
2023-11-15 20:01:15,37473.99,37491.9672,sell
2023-11-15 20:01:16,37473.99,37490.2704,sell
2023-11-15 20:01:17,37474.43,37488.4216,sell
2023-11-15 20:01:18,37451.79,37485.6672,sell
2023-11-15 20:01:19,37452.5,37482.940800000004,sell
2023-11-15 20:01:20,37448.01,37480.2052,sell
2023-11-15 20:01:21,37448.0,37477.6812,sell
2023-11-15 20:01:22,37444.02,37475.042,sell
2023-11-15 20:01:23,37448.23,37472.8056,sell
2023-11-15 20:01:24,37448.24,37470.5696,sell
2023-11-15 20:01:25,37448.23,37468.4544,sell
2023-11-15 20:01:26,37443.26,37466.323599999996,sell
2023-11-15 20:01:27,37452.5,37464.5624,sell
2023-11-15 20:01:28,37452.5,37462.8016,sell
2023-11-15 20:01:29,37453.73,37461.6704,sell
2023-11-15 20:01:30,37454.0,37460.586,sell
2023-11-15 20:01:31,37453.99,37459.75,sell
2023-11-15 20:01:32,37454.0,37459.066,sell
2023-11-15 20:01:33,37453.99,37458.4252,sell
2023-11-15 20:01:34,37454.0,37457.931599999996,sell
2023-11-15 20:01:35,37460.93,37457.7288,buy
2023-11-15 20:01:36,37446.11,37456.5332,sell
2023-11-15 20:01:37,37440.01,37455.1204,sell
2023-11-15 20:01:38,37440.01,37453.7612,sell
2023-11-15 20:01:39,37440.0,37452.4184,sell
2023-11-15 20:01:40,37445.99,37451.2984,sell
2023-11-15 20:01:41,37448.23,37450.268,sell
2023-11-15 20:01:42,37449.24,37449.2604,sell
2023-11-15 20:01:43,37471.73,37450.058,buy
2023-11-15 20:01:44,37480.84,37451.1916,buy
2023-11-15 20:01:45,37481.09,37452.5148,buy
2023-11-15 20:01:46,37481.11,37453.8392,buy
2023-11-15 20:01:47,37485.62,37455.5032,buy
2023-11-15 20:01:48,37484.45,37456.952,buy
2023-11-15 20:01:49,37468.06,37457.7448,buy
2023-11-15 20:01:50,37465.89,37458.4512,buy
2023-11-15 20:01:51,37472.76,37459.6312,buy
2023-11-15 20:01:52,37483.99,37460.8908,buy
2023-11-15 20:01:53,37499.99,37462.7904,buy
2023-11-15 20:01:54,37499.99,37464.6408,buy
2023-11-15 20:01:55,37500.44,37466.4984,buy
2023-11-15 20:01:56,37513.56,37468.8812,buy
2023-11-15 20:01:57,37515.99,37471.3608,buy
2023-11-15 20:01:58,37516.0,37473.8412,buy
2023-11-15 20:01:59,37518.52,37476.422,buy
2023-11-15 20:02:00,37528.33,37479.117999999995,buy
2023-11-15 20:02:01,37528.88,37482.4288,buy
2023-11-15 20:02:02,37533.14,37486.154,buy
2023-11-15 20:02:03,37524.0,37489.5136,buy
2023-11-15 20:02:04,37514.4,37492.4896,buy
2023-11-15 20:02:06,37522.95,37495.568,buy
2023-11-15 20:02:07,37523.98,37498.598,buy
2023-11-15 20:02:08,37527.47,37501.7272,buy
2023-11-15 20:02:09,37536.2,37504.306000000004,buy
2023-11-15 20:02:10,37537.99,37506.592,buy
2023-11-15 20:02:11,37522.99,37508.268,buy
2023-11-15 20:02:12,37539.99,37510.6232,buy
2023-11-15 20:02:14,37545.99,37513.038,buy
2023-11-15 20:02:15,37547.99,37515.5796,buy
2023-11-15 20:02:16,37547.99,37518.7768,buy
2023-11-15 20:02:17,37542.01,37521.821599999996,buy
2023-11-15 20:02:18,37542.01,37524.5916,buy
2023-11-15 20:02:19,37551.1,37527.276,buy
2023-11-15 20:02:20,37544.0,37529.0364,buy
2023-11-15 20:02:21,37547.64,37530.9424,buy
2023-11-15 20:02:22,37549.77,37532.9156,buy
2023-11-15 20:02:24,37569.19,37535.1408,buy
2023-11-15 20:02:25,37569.21,37537.2696,buy
2023-11-15 20:02:26,37562.0,37539.109599999996,buy
2023-11-15 20:02:27,37562.0,37540.8488,buy
2023-11-15 20:02:28,37568.92,37542.4724,buy
2023-11-15 20:02:29,37589.72,37544.906,buy
2023-11-15 20:02:30,37589.99,37547.18,buy
2023-11-15 20:02:31,37588.82,37549.7728,buy
2023-11-15 20:02:32,37588.11,37552.7212,buy
2023-11-15 20:02:33,37592.0,37555.483199999995,buy
2023-11-15 20:02:34,37592.0,37558.204,buy
2023-11-15 20:02:35,37593.28,37560.8364,buy
2023-11-15 20:02:36,37592.0,37563.0684,buy
2023-11-15 20:02:37,37586.25,37564.9988,buy
2023-11-15 20:02:38,37586.01,37567.5196,buy
2023-11-15 20:02:40,37588.82,37569.4728,buy
2023-11-15 20:02:41,37588.83,37571.1864,buy
