,amount
2023-11-14 20:49:57,5.274e-05
2023-11-14 20:50:48,7.252e-05
2023-11-14 20:52:04,9.23e-05
2023-11-14 20:52:26,1.208e-05
2023-11-14 20:52:59,3.186e-05
2023-11-14 20:53:15,5.164e-05
2023-11-14 20:53:55,7.142e-05
2023-11-14 20:53:58,9.12e-05
2023-11-14 20:54:34,1.098e-05
2023-11-14 20:54:55,3.076e-05
2023-11-14 20:55:08,5.054e-05
2023-11-14 20:55:39,7.032e-05
2023-11-14 20:56:13,9.01e-05
2023-11-14 20:56:32,9.88e-06
2023-11-14 20:57:10,2.966e-05
2023-11-14 20:57:35,4.944e-05
2023-11-14 20:57:52,6.922e-05
2023-11-14 20:58:26,8.9e-05
2023-11-14 20:58:45,8.78e-06
2023-11-14 20:59:07,2.856e-05
2023-11-14 20:59:18,4.834e-05
2023-11-14 21:00:04,6.812e-05
2023-11-14 21:00:39,8.79e-05
2023-11-14 21:01:30,7.68e-06
2023-11-14 21:02:44,2.746e-05
2023-11-14 21:02:58,4.724e-05
2023-11-14 21:04:29,6.702e-05
2023-11-14 21:04:51,8.68e-05
2023-11-14 21:06:13,6.58e-06
2023-11-14 21:07:10,2.636e-05
2023-11-14 21:07:32,4.614e-05
2023-11-14 21:07:52,6.592e-05
2023-11-14 21:07:57,8.57e-05
2023-11-14 21:08:01,5.48e-06
2023-11-14 21:08:22,2.526e-05
2023-11-14 21:09:01,4.504e-05
2023-11-14 21:09:09,6.482e-05
2023-11-14 21:09:31,8.46e-05
2023-11-14 21:10:10,4.38e-06
2023-11-14 21:11:35,2.416e-05
2023-11-14 21:11:39,4.394e-05
2023-11-14 21:11:43,6.372e-05
