,price,MA_14,signal
2023-11-14 19:16:58,35453.98,,nan
2023-11-14 19:16:59,35453.99,,nan
2023-11-14 19:17:00,35453.99,,nan
2023-11-14 19:17:01,35453.98,,nan
2023-11-14 19:17:02,35444.0,,nan
2023-11-14 19:17:03,35431.1,,nan
2023-11-14 19:17:04,35426.01,,nan
2023-11-14 19:17:05,35426.0,,nan
2023-11-14 19:17:06,35426.01,,nan
2023-11-14 19:17:07,35426.01,,nan
2023-11-14 19:17:08,35427.99,,nan
2023-11-14 19:17:09,35441.99,,nan
2023-11-14 19:17:11,35452.0,,nan
2023-11-14 19:17:12,35452.01,35440.647142857146,buy
2023-11-14 19:17:14,35450.01,35440.36357142857,buy
2023-11-14 19:17:15,35444.0,35439.65,buy
2023-11-14 19:17:16,35448.0,35439.22214285714,buy
2023-11-14 19:17:17,35450.0,35438.93785714286,buy
2023-11-14 19:17:18,35448.02,35439.225,buy
2023-11-14 19:17:19,35448.01,35440.43285714286,buy
2023-11-14 19:17:20,35446.0,35441.860714285714,buy
2023-11-14 19:17:21,35436.0,35442.575000000004,sell
2023-11-14 19:17:24,35432.0,35443.00285714286,sell
2023-11-14 19:17:25,35433.99,35443.572857142855,sell
2023-11-14 19:17:26,35440.0,35444.430714285714,sell
2023-11-14 19:17:27,35442.0,35444.43142857143,sell
2023-11-14 19:17:28,35444.0,35443.86,buy
2023-11-14 19:17:29,35450.0,35443.71642857143,buy
2023-11-14 19:17:30,35456.0,35444.14428571429,buy
2023-11-14 19:17:31,35456.1,35445.008571428574,buy
2023-11-14 19:17:32,35452.0,35445.294285714284,buy
2023-11-14 19:17:33,35455.98,35445.72142857143,buy
2023-11-14 19:17:34,35459.41,35446.534999999996,buy
2023-11-14 19:17:35,35459.42,35447.35,buy
2023-11-14 19:17:36,35458.33,35448.23071428572,buy
2023-11-14 19:17:37,35458.0,35449.802142857145,buy
2023-11-14 19:17:38,35458.01,35451.659999999996,buy
2023-11-14 19:17:39,35458.01,35453.375714285714,buy
2023-11-14 19:17:40,35454.0,35454.375714285714,sell
2023-11-14 19:17:43,35446.01,35454.662142857145,sell
2023-11-14 19:17:44,35446.01,35454.805714285714,sell
2023-11-14 19:17:45,35451.72,35454.92857142857,sell
2023-11-14 19:17:46,35454.0,35454.78571428572,sell
2023-11-14 19:17:47,35456.69,35454.82785714286,buy
2023-11-14 19:17:49,35450.01,35454.68571428572,sell
2023-11-14 19:17:51,35456.01,35454.68785714286,buy
2023-11-14 19:17:52,35444.09,35453.59357142857,sell
2023-11-14 19:17:54,35453.99,35453.205714285716,buy
2023-11-14 19:17:56,35453.99,35452.89571428571,buy
2023-11-14 19:17:57,35455.99,35452.75214285714,buy
2023-11-14 19:17:58,35452.0,35452.322857142855,sell
2023-11-14 19:18:00,35458.0,35452.32214285714,buy
2023-11-14 19:18:01,35458.0,35452.60785714286,buy
2023-11-14 19:18:02,35456.0,35453.32142857143,buy
2023-11-14 19:18:03,35452.01,35453.75,sell
2023-11-14 19:18:05,35451.99,35453.76928571429,sell
2023-11-14 19:18:06,35453.98,35453.767857142855,buy
2023-11-14 19:18:08,35458.0,35453.86142857143,buy
2023-11-14 19:18:09,35452.01,35454.00428571428,sell
2023-11-14 19:18:11,35448.01,35453.432857142856,sell
2023-11-14 19:18:12,35446.6,35453.61214285714,sell
2023-11-14 19:18:14,35440.01,35452.61357142857,sell
2023-11-14 19:18:15,35431.27,35450.99071428571,sell
2023-11-14 19:18:16,35431.1,35449.21285714286,sell
2023-11-14 19:18:17,35434.0,35447.927142857145,sell
2023-11-14 19:18:18,35440.0,35446.64142857143,sell
2023-11-14 19:18:19,35440.0,35445.35571428571,sell
2023-11-14 19:18:20,35439.99,35444.21214285714,sell
2023-11-14 19:18:21,35439.99,35443.353571428575,sell
2023-11-14 19:18:22,35434.01,35442.069285714286,sell
2023-11-14 19:18:23,35421.79,35439.77,sell
