,price,MA_25,signal
2023-11-09 22:31:21,36564.82,,nan
2023-11-09 22:31:22,36564.83,,nan
2023-11-09 22:31:23,36564.82,,nan
2023-11-09 22:31:24,36564.82,,nan
2023-11-09 22:31:25,36564.83,,nan
2023-11-09 22:31:26,36564.83,,nan
2023-11-09 22:31:27,36564.82,,nan
2023-11-09 22:31:28,36564.82,,nan
2023-11-09 22:31:29,36564.82,,nan
2023-11-09 22:31:30,36562.19,,nan
2023-11-09 22:31:31,36562.2,,nan
2023-11-09 22:31:32,36562.19,,nan
2023-11-09 22:31:33,36561.87,,nan
2023-11-09 22:31:34,36561.87,,nan
2023-11-09 22:31:35,36561.87,,nan
2023-11-09 22:31:36,36561.87,,nan
2023-11-09 22:31:37,36561.87,,nan
2023-11-09 22:31:38,36561.87,,nan
2023-11-09 22:31:39,36561.87,,nan
2023-11-09 22:31:40,36560.68,,nan
2023-11-09 22:31:41,36560.33,,nan
2023-11-09 22:31:42,36559.0,,nan
2023-11-09 22:31:43,36559.0,,nan
2023-11-09 22:31:44,36555.43,,nan
2023-11-09 22:31:45,36555.3,36562.1128,sell
2023-11-09 22:31:46,36555.3,36561.732,sell
2023-11-09 22:31:47,36551.1,36561.1828,sell
2023-11-09 22:31:48,36551.1,36560.634000000005,sell
2023-11-09 22:31:49,36551.1,36560.0852,sell
2023-11-09 22:31:50,36551.11,36559.536400000005,sell
2023-11-09 22:31:51,36551.1,36558.9872,sell
2023-11-09 22:31:52,36551.1,36558.4384,sell
2023-11-09 22:31:53,36551.11,36557.89,sell
2023-11-09 22:31:54,36551.11,36557.3416,sell
2023-11-09 22:31:55,36550.49,36556.873600000006,sell
2023-11-09 22:31:56,36550.48,36556.4048,sell
2023-11-09 22:31:57,36550.48,36555.9364,sell
2023-11-09 22:31:58,36550.49,36555.4812,sell
2023-11-09 22:31:59,36550.49,36555.026,sell
2023-11-09 22:32:00,36550.48,36554.5704,sell
2023-11-09 22:32:01,36550.49,36554.1152,sell
2023-11-09 22:32:02,36550.49,36553.66,sell
2023-11-09 22:32:03,36550.49,36553.2048,sell
2023-11-09 22:32:04,36550.49,36552.7496,sell
2023-11-09 22:32:05,36550.49,36552.342000000004,sell
2023-11-09 22:32:06,36552.69,36552.0364,buy
2023-11-09 22:32:07,36554.61,36551.860799999995,buy
2023-11-09 22:32:08,36554.62,36551.6856,buy
2023-11-09 22:32:09,36554.62,36551.6532,buy
2023-11-09 22:32:11,36554.81,36551.6336,buy
2023-11-09 22:32:12,36554.82,36551.6144,buy
2023-11-09 22:32:13,36555.82,36551.8032,buy
2023-11-09 22:32:15,36555.83,36551.992399999996,buy
2023-11-09 22:32:17,36555.82,36552.1812,buy
2023-11-09 22:32:18,36555.83,36552.37,buy
2023-11-09 22:32:19,36555.82,36552.5588,buy
2023-11-09 22:32:20,36555.83,36552.748,buy
2023-11-09 22:32:21,36555.83,36552.9368,buy
2023-11-09 22:32:23,36555.82,36553.1252,buy
2023-11-09 22:32:24,36549.53,36553.0868,sell
2023-11-09 22:32:26,36549.53,36553.0488,sell
2023-11-09 22:32:27,36549.54,36553.0112,sell
2023-11-09 22:32:28,36549.54,36552.9732,sell
2023-11-09 22:32:29,36549.54,36552.9352,sell
2023-11-09 22:32:30,36549.53,36552.8972,sell
